Introduction,Header,Name,Account,Alias,BaseCurrency,AccountType,AnalysisPeriod,PerformanceMeasure
Introduction,Data,Ein u. Auszahlungen,SINTRO Asset Management GmbH,,EUR,,"September 12, 2023 to July 26, 2024 (Daily)",MWR
Deposits And Withdrawals,MetaInfo,Analysis Period,"September 12, 2023 - July 26, 2024"
Deposits And Withdrawals,Header,Date,Account,Type,Description,Amount
Deposits And Withdrawals,Data,09/12/23,U11744134,DEPOSIT,Cash Receipts / Electronic Fund Transfers ,1
Deposits And Withdrawals,Data,09/13/23,U11744134,DEPOSIT,Cash Receipts / Electronic Fund Transfers ,19000
Deposits And Withdrawals,Data,09/13/23,U11744134,DEPOSIT,Cash Receipts / Electronic Fund Transfers ,1000
Deposits And Withdrawals,Data,09/14/23,U11744134,TRNSFROUT,Transfer From U11744134 To U12898147 ,-1000
Deposits And Withdrawals,Data,09/15/23,U11744134,TRNSFROUT,Transfer From U11744134 To U12940036 ,-1000
Deposits And Withdrawals,Data,09/15/23,U12940036,TRNSFRIN,Transfer From U11744134 To U12940036 ,1000
Deposits And Withdrawals,Data,09/15/23,U12940036,TRNSFRIN,Transfer From U12930963 To U12940036 ,1000
Deposits And Withdrawals,Data,09/18/23,U11744134,TRNSFROUT,Transfer From U11744134 To U12940036 ,-7575.363
Deposits And Withdrawals,Data,09/18/23,U12940036,TRNSFRIN,Transfer From U11744134 To U12940036 ,7575.363
Deposits And Withdrawals,Data,09/19/23,U11744134,TRNSFROUT,Transfer From U11744134 To U12940036 ,-398.19
Deposits And Withdrawals,Data,09/19/23,U12940036,TRNSFRIN,Transfer From U11744134 To U12940036 ,398.19
Deposits And Withdrawals,Data,10/11/23,U11744134,TRNSFROUT,Transfer From U11744134 To U12930963 ,-10000
Deposits And Withdrawals,Data,10/11/23,U12930963,TRNSFRIN,Transfer From U11744134 To U12930963 ,10000
Deposits And Withdrawals,Data,10/30/23,U11744134,DEPOSIT,Cash Receipts / Electronic Fund Transfers ,2000
Deposits And Withdrawals,Data,10/31/23,U11744134,TRNSFROUT,Transfer From U11744134 To U13254634 ,-5200.635
Deposits And Withdrawals,Data,10/31/23,U13254634,TRNSFRIN,Transfer From U11744134 To U13254634 ,5200.635
Deposits And Withdrawals,Data,11/03/23,U12930963,TRNSFROUT,Transfer From U12930963 To U13254634 ,-4659.75
Deposits And Withdrawals,Data,11/03/23,U13254634,TRNSFRIN,Transfer From U12930963 To U13254634 ,4659.75
Deposits And Withdrawals,Data,11/06/23,U11744134,TRNSFRIN,Transfer From U12930963 To U11744134 ,998
Deposits And Withdrawals,Data,11/06/23,U12930963,TRNSFROUT,Transfer From U12930963 To U11744134 ,-998
Deposits And Withdrawals,Data,11/27/23,U12930963,TRNSFRIN,Transfer From U13254634 To U12930963 ,4998.3465
Deposits And Withdrawals,Data,11/27/23,U13254634,TRNSFROUT,Transfer From U13254634 To U12930963 ,-4998.3465
Deposits And Withdrawals,Data,12/15/23,U11744134,WITHDRAWAL,Disbursement Initiated By Denis Keller ,-598.3
Deposits And Withdrawals,Data,01/02/24,U12930963,TRNSFROUT,Transfer From U12930963 To U13254634 ,-475.2488
Deposits And Withdrawals,Data,01/02/24,U13254634,TRNSFRIN,Transfer From U12930963 To U13254634 ,475.2488
Deposits And Withdrawals,Data,01/08/24,U11744134,DEPOSIT,Cash Receipts / Electronic Fund Transfers ,7532.59288
Deposits And Withdrawals,Data,01/08/24,U11744134,TRNSFROUT,Transfer From U11744134 To U13254634 ,-4840.013
Deposits And Withdrawals,Data,01/08/24,U13254634,TRNSFRIN,Transfer From U11744134 To U13254634 ,4840.013
Deposits And Withdrawals,Data,01/29/24,U11744134,DEPOSIT,Cash Receipts / Electronic Fund Transfers ,1000
Deposits And Withdrawals,Data,01/30/24,U11744134,TRNSFRIN,Transfer From U12930963 To U11744134 ,78.9551415
Deposits And Withdrawals,Data,01/30/24,U11744134,TRNSFROUT,Transfer From U11744134 To U12930963 ,-1998.93
Deposits And Withdrawals,Data,01/30/24,U11744134,DEPOSIT,Cash Receipts / Electronic Fund Transfers ,1000
Deposits And Withdrawals,Data,01/30/24,U12930963,TRNSFROUT,Transfer From U12930963 To U11744134 ,-78.9551415
Deposits And Withdrawals,Data,01/30/24,U12930963,TRNSFRIN,Transfer From U11744134 To U12930963 ,1998.93
Deposits And Withdrawals,Data,02/16/24,U11744134,TRNSFROUT,Transfer From U11744134 To U12930963 ,-1000
