Introduction,Header,Name,Account,Alias,BaseCurrency,AccountType,AnalysisPeriod,PerformanceMeasure
Introduction,Data,NAVs,SINTRO Asset Management GmbH,,EUR,,"January 1, 2024 to July 24, 2024 (Daily)",TWR
Allocation by Asset Class,MetaInfo,Analysis Period,"January 1, 2024 - July 24, 2024"
Allocation by Asset Class,Header,Date,Equities,Fixed Income,Cash,NAV
Allocation by Asset Class,Data,20240101,-430.3409209,479.9744007,15155.95760953,15205.59108933
Allocation by Asset Class,Data,20240102,-431.973741,484.753776,15624.673175446,15677.453210446
Allocation by Asset Class,Data,20240103,-429.2053724,485.5489348,15465.823265567,15522.166827967
Allocation by Asset Class,Data,20240104,-426.930372,484.78269,15355.341585746,15413.193903746
Allocation by Asset Class,Data,20240105,-427.6508048,485.1010732,15384.206422046,15441.656690446
Allocation by Asset Class,Data,20240108,-433.409466,484.6679433,20515.573773341,20566.832250641
Allocation by Asset Class,Data,20240109,-433.505424,485.66732,20512.414665042,20564.576561042
Allocation by Asset Class,Data,20240110,-434.3081904,483.8121792,20560.140886247,20609.644875047
Allocation by Asset Class,Data,20240111,-434.126336,484.1873408,20538.947293061,20589.008297861
Allocation by Asset Class,Data,20240112,-435.2898756,485.3315916,20584.304372214,20634.346088214
Allocation by Asset Class,Data,20240115,-435.3089428,485.4441718,20585.206035841,20635.341264841
Allocation by Asset Class,Data,20240116,-436.6838871,488.7258891,20642.405561373,20694.447563373
Allocation by Asset Class,Data,20240117,-433.987281,488.331027,20504.408747879,20558.752493879
Allocation by Asset Class,Data,20240118,-438.0992007,488.7965709,20700.121210645,20750.818580845
Allocation by Asset Class,Data,20240119,-442.7115381,487.925139,20927.767816128,20972.981417028
Allocation by Asset Class,Data,20240122,-444.2277015,488.6091225,21007.969237958,21052.350658958
Allocation by Asset Class,Data,20240123,-446.701518,489.94734,21128.01691654,21171.26273854
Allocation by Asset Class,Data,20240124,-445.927793,488.65653,21082.17205674,21124.90079374
Allocation by Asset Class,Data,20240125,-449.9441388,490.6025748,21273.379434796,21314.037870796
Allocation by Asset Class,Data,20240126,-449.0654553,490.3133994,21226.59621396,21267.84415806
Allocation by Asset Class,Data,20240129,-453.4765989,491.3316996,21442.150590664,21480.005691364
Allocation by Asset Class,Data,20240130,-452.6251245,490.9270815,21402.320961559,21440.622918558
Allocation by Asset Class,Data,20240131,10266.3861312,492.2138624,10338.275803471,21096.875797071
Allocation by Asset Class,Data,20240201,10348.884132,489.961479,10553.450814181,21392.296425181
Allocation by Asset Class,Data,20240202,10540.03635,493.85925,10857.738431484,21891.634031484
Allocation by Asset Class,Data,20240205,10545.160566,495.8957016,10817.748395741,21858.804663341
Allocation by Asset Class,Data,20240206,10564.1871228,495.3894996,10865.170500235,21924.747122635
Allocation by Asset Class,Data,20240207,10634.539601,494.6565176,11037.353727163,22166.549845763
Allocation by Asset Class,Data,20240208,10634.1936488,494.626173,11044.879683758,22173.699505558
Allocation by Asset Class,Data,20240209,10688.621272,494.3287986,11161.633924436,22344.583995036
Allocation by Asset Class,Data,20240212,10696.4891074,495.0120244,11163.15118679,22354.65231859
Allocation by Asset Class,Data,20240213,10611.3265152,497.938185,10899.771803376,22009.036503576
Allocation by Asset Class,Data,20240214,10689.2959287,497.1076176,11101.203853362,22287.607399662
Allocation by Asset Class,Data,20240215,10718.0189221,495.3991336,11189.357939663,22402.775995363
Allocation by Asset Class,Data,20240216,10659.9330178,495.059703,11060.314528479,22215.307249279
Allocation by Asset Class,Data,20240219,10658.5543702,495.227612,11058.884099596,22212.666081796
Allocation by Asset Class,Data,20240220,10571.5396248,493.903788,10896.31577768,21961.75919048
Allocation by Asset Class,Data,20240221,10569.5658775,493.4108625,10907.527772081,21970.504512081
Allocation by Asset Class,Data,20240222,10784.9231,493.3761608,11383.40958978,22661.70885058
Allocation by Asset Class,Data,20240223,10794.463477,493.5646912,11402.954858105,22690.983026305
Allocation by Asset Class,Data,20240226,10724.7869435,492.199855,11273.082184713,22490.068983212
Allocation by Asset Class,Data,20240227,10751.5898946,492.653295,11325.253826721,22569.497016321
Allocation by Asset Class,Data,20240228,10743.2017072,493.012684,11289.875772067,22526.090163267
Allocation by Asset Class,Data,20240229,10814.7774864,494.6398608,11431.967400818,22741.384748018
Allocation by Asset Class,Data,20240301,10883.282163,493.346302,11594.598301881,22971.226766881
Allocation by Asset Class,Data,20240304,10854.053993,492.5311756,11542.48181825,22889.06698685
Allocation by Asset Class,Data,20240305,10744.4104998,492.5421825,11295.45968608,22532.41236838
Allocation by Asset Class,Data,20240306,10757.23386,490.7172216,11373.495978124,22621.447059724
Allocation by Asset Class,Data,20240307,10815.231442,488.80601,17766.461826073,29070.499278073
Allocation by Asset Class,Data,20240308,10760.4379256,489.2936668,17635.765184268,28885.496776668
Allocation by Asset Class,Data,20240311,10762.9450544,489.847152,17624.16481996,28876.95702636
Allocation by Asset Class,Data,20240312,10878.012288,489.8608,17876.977465318,29244.850553318
Allocation by Asset Class,Data,20240313,10839.8383002,488.953726,17802.245869287,29131.037895486
Allocation by Asset Class,Data,20240314,10882.603134,2631.1259052,15698.335857695,29212.064896895
Allocation by Asset Class,Data,20240315,10769.9446214,2630.102056,15553.54186973,28953.58854713
Allocation by Asset Class,Data,20240318,10849.168655,2638.3488625,15722.556405091,29210.073922591
Allocation by Asset Class,Data,20240319,10915.7447724,2648.381784,15855.854226722,29419.980783122
Allocation by Asset Class,Data,20240320,10960.2053824,2641.207488,15980.532551068,29581.945421468
Allocation by Asset Class,Data,20240321,11059.720798,2655.8118445,16145.032498461,29860.565140961
Allocation by Asset Class,Data,20240322,11092.339099,7321.325214,11525.747885913,29939.412198913
Allocation by Asset Class,Data,20240325,11030.8500112,12059.7935376,6669.757470446,29760.401019246
Allocation by Asset Class,Data,20240326,11016.4426686,12051.6492546,6614.294805426,29682.386728626
Allocation by Asset Class,Data,20240327,11112.9940305,12102.919569,6815.222299361,30031.135898861
Allocation by Asset Class,Data,20240328,11151.8942456,12140.673208,6841.544670024,30134.112123624
Allocation by Asset Class,Data,20240329,11145.5180223,12133.731639,6837.632938477,30116.882599777
Allocation by Asset Class,Data,20240401,11178.9704344,12091.574783,6864.457552845,30135.002770245
Allocation by Asset Class,Data,20240402,11080.8036192,16667.559144,2069.940590495,29818.303353695
Allocation by Asset Class,Data,20240403,11024.6434612,16571.5578492,2084.874799522,29681.076109922
Allocation by Asset Class,Data,20240404,10888.8948714,16541.452473,1765.150155099,29195.497499499
Allocation by Asset Class,Data,20240405,11002.7694975,16541.9823825,2022.385847041,29567.137727041
Allocation by Asset Class,Data,20240408,10986.3754816,16537.0617208,2019.394619954,29542.831822354
Allocation by Asset Class,Data,20240409,11001.5916652,15513.1951606,3113.420863852,29628.207689652
Allocation by Asset Class,Data,20240410,11007.3143412,15583.322322,2902.193662178,29492.830325378
Allocation by Asset Class,Data,20240411,11107.4222,15602.432066,3072.135254306,29781.989520306
Allocation by Asset Class,Data,20240412,11041.8746035,15706.0564882,2766.073691013,29514.004782713
Allocation by Asset Class,Data,20240415,10920.13182,15683.149716,2172.620684042,28775.902220042
Allocation by Asset Class,Data,20240416,10906.4698706,15620.2458492,2065.567093996,28592.282813796
Allocation by Asset Class,Data,20240417,10786.892544,15559.0921728,1771.652472545,28117.637189345
Allocation by Asset Class,Data,20240418,10794.2225888,15614.7537175,1652.024236589,28061.000542889
Allocation by Asset Class,Data,20240419,10687.2511988,15615.0954795,1225.424357609,27527.771035909
Allocation by Asset Class,Data,20240422,10788.0852872,15676.455792,1636.34483648,28100.88591568
Allocation by Asset Class,Data,20240423,10867.3741785,15651.609057,2180.353892572,28699.337128072
Allocation by Asset Class,Data,20240424,10864.8897438,15649.7414148,2190.237163479,28704.868322079
Allocation by Asset Class,Data,20240425,10792.4642319,15578.7918806,1948.611122223,28319.867234723
Allocation by Asset Class,Data,20240426,10932.0016968,15666.221142,2415.847239363,29014.070078163
Allocation by Asset Class,Data,20240429,10943.031264,15664.69696,2554.33452919,29162.06275319
Allocation by Asset Class,Data,20240430,10824.0592054,15696.0549228,1817.224166018,28337.338294217
Allocation by Asset Class,Data,20240501,10742.074192,15550.4383232,1699.581199122,27992.093714322
Allocation by Asset Class,Data,20240502,10830.2370422,15584.871557,2117.212857248,28532.321456448
Allocation by Asset Class,Data,20240503,10926.6149772,15592.2153768,2696.972167155,29215.802521155
Allocation by Asset Class,Data,20240506,11031.610635,15593.76753,3175.555206588,29800.933371588
Allocation by Asset Class,Data,20240507,11059.1268138,15616.380924,3247.376899969,29922.884637769
Allocation by Asset Class,Data,20240508,11067.3332943,15617.4614127,3240.168555029,29924.963262029
Allocation by Asset Class,Data,20240509,11096.1676077,15570.8671938,3473.460262067,30140.495063567
Allocation by Asset Class,Data,20240510,11121.4808948,15553.2898183,3544.214021494,30218.984734594
Allocation by Asset Class,Data,20240513,11104.0457333,15526.2733078,3531.2311515,30161.5501926
Allocation by Asset Class,Data,20240514,11124.300934,15499.5444368,3743.337817492,30367.183188292
Allocation by Asset Class,Data,20240515,11195.2791732,15466.834398,4304.568614603,30966.682185803
Allocation by Asset Class,Data,20240516,11189.512374,15465.93943,4193.895944914,30849.347748914
Allocation by Asset Class,Data,20240517,11202.918453,15471.3312594,4257.291874725,30931.541587125
Allocation by Asset Class,Data,20240520,11229.2362904,15494.822246,4303.830825669,31027.889362069
Allocation by Asset Class,Data,20240521,11259.8319024,15498.8435925,4429.378523611,31188.054018511
Allocation by Asset Class,Data,20240522,11259.8252991,15521.0454215,4282.778442714,31063.649163314
Allocation by Asset Class,Data,20240523,11184.960168,15496.38846,3890.339348693,30571.687976693
Allocation by Asset Class,Data,20240524,11226.086928,15494.539242,4213.167600919,30933.793770919
Allocation by Asset Class,Data,20240527,11214.3968928,15478.4043492,4208.780312822,30901.581554822
Allocation by Asset Class,Data,20240528,11223.6963678,15439.084038,4239.263173834,30902.043579634
Allocation by Asset Class,Data,20240529,11202.578743,15758.6008502,3615.370596145,30576.550189345
Allocation by Asset Class,Data,20240530,11096.2906945,15743.5016465,3318.806558977,30158.598899977
