Introduction,Header,Name,Account,Alias,BaseCurrency,AccountType,AnalysisPeriod,PerformanceMeasure
Introduction,Data,SINTRO Asset Management GmbH,SPY4,SPY4,USD,Institution Client,"January 1, 2024 to July 24, 2024 (Daily)",TWR
Allocation by Asset Class,MetaInfo,Analysis Period,"January 1, 2024 - July 24, 2024"
Allocation by Asset Class,Header,Date,Equities,Fixed Income,Cash,NAV
Allocation by Asset Class,Data,20240101,-11407.44,0,16473.808043,5066.368043
Allocation by Asset Class,Data,20240102,-11343.6,0,16830.058043,5486.458043
Allocation by Asset Class,Data,20240103,-11250.96,0,16626.308043,5375.348043
Allocation by Asset Class,Data,20240104,-11214.72,0,16540.698043,5325.978043
Allocation by Asset Class,Data,20240105,-11230.08,0,16566.948043,5336.868043
Allocation by Asset Class,Data,20240108,-11390.4,0,22199.448043,10809.048043
Allocation by Asset Class,Data,20240109,-11373.12,0,22156.948043,10783.828043
Allocation by Asset Class,Data,20240110,-11437.44,0,22294.448043,10857.008043
Allocation by Asset Class,Data,20240111,-11432.4,0,22270.698043,10838.298043
Allocation by Asset Class,Data,20240112,-11440.32,0,22275.698043,10835.378043
Allocation by Asset Class,Data,20240115,-11440.32,0,22275.698043,10835.378043
Allocation by Asset Class,Data,20240116,-11398.32,0,22184.438043,10786.118043
Allocation by Asset Class,Data,20240117,-11334.96,0,22048.188043,10713.228043
Allocation by Asset Class,Data,20240118,-11435.76,0,22248.188043,10812.428043
Allocation by Asset Class,Data,20240119,-11578.32,0,22539.438043,10961.118043
Allocation by Asset Class,Data,20240122,-11602.8,0,22596.938043,10994.138043
Allocation by Asset Class,Data,20240123,-11636.64,0,22666.938043,11030.298043
Allocation by Asset Class,Data,20240124,-11649.36,0,22681.938043,11032.578043
Allocation by Asset Class,Data,20240125,-11712.72,0,22808.188043,11095.468043
Allocation by Asset Class,Data,20240126,-11697.84,0,22773.188043,11075.348043
Allocation by Asset Class,Data,20240129,-11790.48,0,22963.278043,11172.798043
Allocation by Asset Class,Data,20240130,-11781.36,0,22945.778043,11164.418043
Allocation by Asset Class,Data,20240131,0,0,10918.118043,10918.118043
Allocation by Asset Class,Data,20240201,0,0,11208.118043,11208.118043
Allocation by Asset Class,Data,20240202,0,0,11446.878043,11446.878043
Allocation by Asset Class,Data,20240205,0,0,11355.598043,11355.598043
Allocation by Asset Class,Data,20240206,0,0,11419.348043,11419.348043
Allocation by Asset Class,Data,20240207,0,0,11624.348043,11624.348043
Allocation by Asset Class,Data,20240208,0,0,11638.098043,11638.098043
Allocation by Asset Class,Data,20240209,0,0,11771.848043,11771.848043
Allocation by Asset Class,Data,20240212,0,0,11759.348043,11759.348043
Allocation by Asset Class,Data,20240213,0,0,11406.848043,11406.848043
Allocation by Asset Class,Data,20240214,0,0,11643.098043,11643.098043
Allocation by Asset Class,Data,20240215,0,0,11788.098043,11788.098043
Allocation by Asset Class,Data,20240216,0,0,11654.348043,11654.348043
Allocation by Asset Class,Data,20240219,0,0,11654.348043,11654.348043
Allocation by Asset Class,Data,20240220,0,0,11510.598043,11510.598043
Allocation by Asset Class,Data,20240221,0,0,11535.598043,11535.598043
Allocation by Asset Class,Data,20240222,0,0,12054.348043,12054.348043
Allocation by Asset Class,Data,20240223,0,0,12073.098043,12073.098043
Allocation by Asset Class,Data,20240226,0,0,11966.848043,11966.848043
Allocation by Asset Class,Data,20240227,0,0,12015.598043,12015.598043
Allocation by Asset Class,Data,20240228,0,0,11970.598043,11970.598043
Allocation by Asset Class,Data,20240229,0,0,12086.848043,12086.848043
Allocation by Asset Class,Data,20240301,0,0,12300.598043,12300.598043
Allocation by Asset Class,Data,20240304,0,0,12264.348043,12264.348043
Allocation by Asset Class,Data,20240305,0,0,11997.518043,11997.518043
Allocation by Asset Class,Data,20240306,0,0,12130.018043,12130.018043
Allocation by Asset Class,Data,20240307,0,0,12385.018043,12385.018043
Allocation by Asset Class,Data,20240308,0,0,12223.768043,12223.768043
Allocation by Asset Class,Data,20240311,0,0,12190.018043,12190.018043
Allocation by Asset Class,Data,20240312,0,0,12467.518043,12467.518043
Allocation by Asset Class,Data,20240313,0,0,12423.768043,12423.768043
Allocation by Asset Class,Data,20240314,0,0,12351.268043,12351.268043
Allocation by Asset Class,Data,20240315,0,0,12175.018043,12175.018043
Allocation by Asset Class,Data,20240318,0,0,12335.018043,12335.018043
Allocation by Asset Class,Data,20240319,0,0,12470.018043,12470.018043
Allocation by Asset Class,Data,20240320,0,0,12695.018043,12695.018043
Allocation by Asset Class,Data,20240321,0,0,12773.768043,12773.768043
Allocation by Asset Class,Data,20240322,0,5029.2,7696.865735,12726.065735
Allocation by Asset Class,Data,20240325,0,10189.6,2469.003169,12658.603169
Allocation by Asset Class,Data,20240326,0,10178.6,2405.013169,12583.613169
Allocation by Asset Class,Data,20240327,0,10217,2620.013169,12837.013169
Allocation by Asset Class,Data,20240328,0,10214.4,2621.263169,12835.663169
Allocation by Asset Class,Data,20240329,0,10214.4,2621.263169,12835.663169
Allocation by Asset Class,Data,20240401,0,10130.2,2604.433169,12734.633169
Allocation by Asset Class,Data,20240402,0,10120.2,2430.683169,12550.883169
Allocation by Asset Class,Data,20240403,0,10121.2,2460.683169,12581.883169
Allocation by Asset Class,Data,20240404,0,10105,2114.433169,12219.433169
Allocation by Asset Class,Data,20240405,0,10107.6,2393.183169,12500.783169
Allocation by Asset Class,Data,20240408,0,10127.2,2394.433169,12521.633169
Allocation by Asset Class,Data,20240409,0,10140.2,2429.433169,12569.633169
Allocation by Asset Class,Data,20240410,0,10091.4,2166.933169,12258.333169
Allocation by Asset Class,Data,20240411,0,10086,2344.433169,12430.433169
Allocation by Asset Class,Data,20240412,0,10082.2,1965.683169,12047.883169
Allocation by Asset Class,Data,20240415,0,10050.2,1648.183169,11698.383169
Allocation by Asset Class,Data,20240416,0,10026.8,1590.683169,11617.483169
Allocation by Asset Class,Data,20240417,0,10040,1439.433169,11479.433169
Allocation by Asset Class,Data,20240418,0,10051.6,1373.183169,11424.783169
Allocation by Asset Class,Data,20240419,0,10062.8,1146.933169,11209.733169
Allocation by Asset Class,Data,20240422,0,10095.4,1365.683169,11461.083169
Allocation by Asset Class,Data,20240423,0,10122.6,1660.683169,11783.283169
Allocation by Asset Class,Data,20240424,0,10117.4,1665.683169,11783.083169
Allocation by Asset Class,Data,20240425,0,10101.4,1539.433169,11640.833169
Allocation by Asset Class,Data,20240426,0,10121.8,1785.683169,11907.483169
Allocation by Asset Class,Data,20240429,0,10137.4,1863.183169,12000.583169
Allocation by Asset Class,Data,20240430,0,10108.6,1463.183169,11571.783169
Allocation by Asset Class,Data,20240501,0,10061.6,1410.563169,11472.163169
Allocation by Asset Class,Data,20240502,0,10100,1635.563169,11735.563169
Allocation by Asset Class,Data,20240503,0,10130.6,1951.813169,12082.413169
Allocation by Asset Class,Data,20240506,0,10143.2,2210.563169,12353.763169
Allocation by Asset Class,Data,20240507,0,10148,2246.813169,12394.813169
Allocation by Asset Class,Data,20240508,0,10134.4,2241.813169,12376.213169
Allocation by Asset Class,Data,20240509,0,10144.8,2373.063169,12517.863169
Allocation by Asset Class,Data,20240510,0,10130.2,2409.313169,12539.513169
Allocation by Asset Class,Data,20240513,0,10131.4,2405.563169,12536.963169
Allocation by Asset Class,Data,20240514,0,10139,2525.563169,12664.563169
Allocation by Asset Class,Data,20240515,0,10168,2843.063169,13011.063169
Allocation by Asset Class,Data,20240516,0,10155.8,2779.313169,12935.113169
Allocation by Asset Class,Data,20240517,0,10161.6,2814.313169,12975.913169
Allocation by Asset Class,Data,20240520,0,10164,2836.813169,13000.813169
Allocation by Asset Class,Data,20240521,0,10165.2,2904.313169,13069.513169
Allocation by Asset Class,Data,20240522,0,10154.2,2818.063169,12972.263169
Allocation by Asset Class,Data,20240523,0,10138.6,2604.313169,12742.913169
Allocation by Asset Class,Data,20240524,0,10161.2,2785.563169,12946.763169
Allocation by Asset Class,Data,20240527,0,10161.2,2785.563169,12946.763169
Allocation by Asset Class,Data,20240528,0,10142.4,2801.813169,12944.213169
Allocation by Asset Class,Data,20240529,0,10125.6,2598.063169,12723.663169
Allocation by Asset Class,Data,20240530,0,10143.4,2443.063169,12586.463169
Allocation by Asset Class,Data,20240531,0,10168,2655.563169,12823.563169
Allocation by Asset Class,Data,20240603,0,10109,2713.013169,12822.013169
Allocation by Asset Class,Data,20240604,0,10112.4,2746.763169,12859.163169
Allocation by Asset Class,Data,20240605,0,10129,3056.763169,13185.763169
Allocation by Asset Class,Data,20240606,0,10123.6,3046.763169,13170.363169
Allocation by Asset Class,Data,20240607,0,10108.2,3005.513169,13113.713169
Allocation by Asset Class,Data,20240610,0,10118.4,3083.013169,13201.413169
Allocation by Asset Class,Data,20240611,0,10123.8,3146.763169,13270.563169
Allocation by Asset Class,Data,20240612,0,10143.8,3364.263169,13508.063169
Allocation by Asset Class,Data,20240613,0,10140,3419.263169,13559.263169
Allocation by Asset Class,Data,20240614,0,10103.4,3414.263169,13517.663169
Allocation by Asset Class,Data,20240617,0,10119.6,3619.263169,13738.863169
Allocation by Asset Class,Data,20240618,0,10132.8,3618.643169,13751.443169
Allocation by Asset Class,Data,20240619,0,10132.8,3618.643169,13751.443169
Allocation by Asset Class,Data,20240620,0,10128.2,3618.643169,13746.843169
Allocation by Asset Class,Data,20240621,0,10131.4,3618.643169,13750.043169
Allocation by Asset Class,Data,20240624,0,10128.4,3578.023169,13706.423169
Allocation by Asset Class,Data,20240625,0,10139.6,3678.023169,13817.623169
