Introduction,Header,Name,Account,Alias,BaseCurrency,AccountType,AnalysisPeriod,PerformanceMeasure
Introduction,Data,SINTRO Asset Management GmbH,SPY5,SPY5,USD,Institution Client,"March 7, 2024 to July 24, 2024 (Daily)",TWR
Allocation by Asset Class,MetaInfo,Analysis Period,"March 7, 2024 - July 24, 2024"
Allocation by Asset Class,Header,Date,Fixed Income,Cash,NAV
Allocation by Asset Class,Data,20240307,0,6800,6800
Allocation by Asset Class,Data,20240308,0,6800,6800
Allocation by Asset Class,Data,20240311,0,6800,6800
Allocation by Asset Class,Data,20240312,0,6800,6800
Allocation by Asset Class,Data,20240313,0,6800,6800
Allocation by Asset Class,Data,20240314,2328,4467.789743,6795.789743
Allocation by Asset Class,Data,20240315,2328,4467.789743,6795.789743
Allocation by Asset Class,Data,20240318,2333,4467.789743,6800.789743
Allocation by Asset Class,Data,20240319,2342,4467.789743,6809.789743
Allocation by Asset Class,Data,20240320,2349,4467.789743,6816.789743
Allocation by Asset Class,Data,20240321,2348,4467.789743,6815.789743
Allocation by Asset Class,Data,20240322,2347,4467.789743,6814.789743
Allocation by Asset Class,Data,20240325,2344,4467.789743,6811.789743
Allocation by Asset Class,Data,20240326,2339,4467.789743,6806.789743
Allocation by Asset Class,Data,20240327,2351,4467.789743,6818.789743
Allocation by Asset Class,Data,20240328,2346,4467.789743,6813.789743
Allocation by Asset Class,Data,20240329,2346,4467.789743,6813.789743
Allocation by Asset Class,Data,20240401,2323,4478.549743,6801.549743
Allocation by Asset Class,Data,20240402,7292.8,-493.061592,6799.738408
Allocation by Asset Class,Data,20240403,7299,-493.061592,6805.938408
Allocation by Asset Class,Data,20240404,7284.3,-493.061592,6791.238408
Allocation by Asset Class,Data,20240405,7282,-493.061592,6788.938408
Allocation by Asset Class,Data,20240408,7293.8,-493.061592,6800.738408
Allocation by Asset Class,Data,20240409,6165,659.21595,6824.21595
Allocation by Asset Class,Data,20240410,6112,659.21595,6771.21595
Allocation by Asset Class,Data,20240411,6111.87,659.21595,6771.08595
Allocation by Asset Class,Data,20240412,6092.8,686.09595,6778.89595
Allocation by Asset Class,Data,20240415,6075,368.59595,6443.59595
Allocation by Asset Class,Data,20240416,6022,311.09595,6333.09595
Allocation by Asset Class,Data,20240417,6028,159.84595,6187.84595
Allocation by Asset Class,Data,20240418,6030,93.59595,6123.59595
Allocation by Asset Class,Data,20240419,6039,-132.65405,5906.34595
Allocation by Asset Class,Data,20240422,6068,86.09595,6154.09595
Allocation by Asset Class,Data,20240423,6089,381.09595,6470.09595
Allocation by Asset Class,Data,20240424,6088,386.09595,6474.09595
Allocation by Asset Class,Data,20240425,6076,259.84595,6335.84595
Allocation by Asset Class,Data,20240426,6092,506.09595,6598.09595
Allocation by Asset Class,Data,20240429,6117,583.59595,6700.59595
Allocation by Asset Class,Data,20240430,6095,183.59595,6278.59595
Allocation by Asset Class,Data,20240501,6059,118.63595,6177.63595
Allocation by Asset Class,Data,20240502,6076,343.62595,6419.62595
Allocation by Asset Class,Data,20240503,6111,659.20595,6770.20595
Allocation by Asset Class,Data,20240506,6112,917.95595,7029.95595
Allocation by Asset Class,Data,20240507,6108.1,954.20595,7062.30595
Allocation by Asset Class,Data,20240508,6112,949.20595,7061.20595
Allocation by Asset Class,Data,20240509,6104.05,1080.45595,7184.50595
Allocation by Asset Class,Data,20240510,6083.07,1116.70595,7199.77595
Allocation by Asset Class,Data,20240513,6081.03,1112.95595,7193.98595
Allocation by Asset Class,Data,20240514,6090.75,1232.95595,7323.70595
Allocation by Asset Class,Data,20240515,6126,1550.45595,7676.45595
Allocation by Asset Class,Data,20240516,6111,1486.70595,7597.70595
Allocation by Asset Class,Data,20240517,6115,1521.70595,7636.70595
Allocation by Asset Class,Data,20240520,6118,1544.20595,7662.20595
Allocation by Asset Class,Data,20240521,6116.5,1611.70595,7728.20595
Allocation by Asset Class,Data,20240522,6103,1525.45595,7628.45595
Allocation by Asset Class,Data,20240523,6080.62,1311.70595,7392.32595
Allocation by Asset Class,Data,20240524,6105,1492.95595,7597.95595
Allocation by Asset Class,Data,20240527,6105,1492.95595,7597.95595
Allocation by Asset Class,Data,20240528,6078.87,1509.20595,7588.07595
Allocation by Asset Class,Data,20240529,6065.5,1305.45595,7370.95595
Allocation by Asset Class,Data,20240530,6079.1,1150.45595,7229.55595
Allocation by Asset Class,Data,20240531,6113,1362.95595,7475.95595
Allocation by Asset Class,Data,20240603,6059.07,1408.51595,7467.58595
Allocation by Asset Class,Data,20240604,6056,1442.26595,7498.26595
Allocation by Asset Class,Data,20240605,6082,1631.64595,7713.64595
Allocation by Asset Class,Data,20240606,6072,1631.64595,7703.64595
Allocation by Asset Class,Data,20240607,6053,1631.64595,7684.64595
Allocation by Asset Class,Data,20240610,6061.81,1631.64595,7693.45595
Allocation by Asset Class,Data,20240611,6064.19,1631.64595,7695.83595
Allocation by Asset Class,Data,20240612,6093.32,1631.64595,7724.96595
Allocation by Asset Class,Data,20240613,6093.94,1631.64595,7725.58595
Allocation by Asset Class,Data,20240614,6064.99,1631.64595,7696.63595
Allocation by Asset Class,Data,20240617,6072.1,1631.64595,7703.74595
Allocation by Asset Class,Data,20240618,6085,1631.64595,7716.64595
Allocation by Asset Class,Data,20240619,6085,1631.64595,7716.64595
Allocation by Asset Class,Data,20240620,6072,1631.64595,7703.64595
Allocation by Asset Class,Data,20240621,6087.82,1631.64595,7719.46595
Allocation by Asset Class,Data,20240624,6074.32,1631.64595,7705.96595
Allocation by Asset Class,Data,20240625,6069,1631.64595,7700.64595
Allocation by Asset Class,Data,20240626,6067,1631.64595,7698.64595
Allocation by Asset Class,Data,20240627,6063,1631.64595,7694.64595
Allocation by Asset Class,Data,20240628,6062,1631.64595,7693.64595
Allocation by Asset Class,Data,20240701,6000,1666.08595,7666.08595
Allocation by Asset Class,Data,20240702,6015.16,9448.86595,15464.02595
Allocation by Asset Class,Data,20240703,6025,17000.46595,23025.46595
Allocation by Asset Class,Data,20240704,6025,17007.96595,23032.96595
Allocation by Asset Class,Data,20240705,6051,16265.62595,22316.62595
Allocation by Asset Class,Data,20240708,6047.8,16303.12595,22350.92595
